ID,chemical_name,DTXSID,parent_or_TP,TP_of,use_group,use_group_details,additional_use_info,target_taxa,MoA_broad,MoA_specific,molecular_target,further_MoA_info,nontarget_taxa,nontarget_taxa_alert,source,MoA_comment,date_of_retrieval,PubChem_CID,InChIKey,comment_compound
ID_2161,Deisopropylatrazine,DTXSID0037495,TP,"Atrazine, Sebuthylazine, Simazine",Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, PPDB",n/a,3/1/2021,13878,IVENSCMCQBJAKW-UHFFFAOYSA-N,n/a
ID_2162,Atrazine,DTXSID9020112,parent,n/a,Pesticide,H,n/a,plants,Photosynthesis inhibition,Photosystem II inhibition,Photosystem II (Plastoquinone-binding protein),"electron transport chain inhibition, potential endocrine disruptor",mammals,potential endocrine disruptor in humans,"PPDB, wikipedia, IARC/3/1999",n/a,3/1/2021,2256,MXWJVTOOROXGIU-UHFFFAOYSA-N,n/a
ID_2163,6-Chloronicotinic acid,DTXSID6063775,TP,"Imidacloprid, Acetamiprid",Pesticide,TP I,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,11/7/2021,79222,UAWMVMPAYRWUFX-UHFFFAOYSA-N,n/a
ID_2164,Ciclopirox,DTXSID9048564,parent,n/a,Pharmaceutical,Ph Antifungal,antiinflammatory,fungi (in humans),Metabolic system,"Modification of plasma membrane, 5-lipoxygenase inhibition, Cyclooxygenase inhibition","5-lipoxygenase, Cyclooxygenase","chelation of polyvalent metal cations (Fe3+ and Al3+), cations inhibit many enzymes including cytochromes, disruption of DNA repair/cell division signals and structures (mitotic spindles)/elements of intracellular transport",n/a,n/a,"drugbank, wikipedia",n/a,2/22/2022,2749,SCKYRAXSEDYPSA-UHFFFAOYSA-N,n/a
ID_2165,Ethoxyquin,DTXSID9020582,parent,n/a,"Industrial Chemical, Pesticide",IC Antioxidant/Food preservative + F,animal feed additive,fungi,unknown,n/a,n/a,Anti-oxidant affecting plant growth,n/a,n/a,"wikipedia, PPDB",n/a,3/14/2022,3293,DECIPOUIJURFOJ-UHFFFAOYSA-N,n/a
ID_2737,Imidocarb,DTXSID0048345,parent,n/a,Pharmaceutical,Ph Antiprotozoal,"veterinary substance, not in human medicine",vertebrates,Nucleic acid biosynthesis inhibition,n/a,DNA,n/a,n/a,n/a,"drugbank, wikipedia",n/a,5/31/2022,21389,SCEVFJUWLLRELN-UHFFFAOYSA-N,n/a
ID_2167,Difloxacin,DTXSID5048348,parent,n/a,Pharmaceutical,Ph Antibiotic,veterinary substance,"bacteria (in humans, vertebrates)",Antibiotic,Nucleic acid biosynthesis inhibition,DNA gyrase,DNA gyrase inhibition,n/a,n/a,"drugbank, wikipedia",n/a,5/15/2022,40473223,NOCJXYPHIIZEHN-UHFFFAOYSA-N,n/a
ID_2168,"6H-Dibenzo[c,e][1,2]oxaphosphinine 6-oxide",DTXSID6044563,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,3/14/2022,37314,VBQRUYIOTHNGOP-UHFFFAOYSA-N,n/a
ID_2169,6H-Benzo(cd)pyren-6-one,DTXSID60184759,parent,n/a,Industrial Chemical,IC Combustion product,"oxygenated PAH, found together with PAHs in the environment",n/a,Nucleic acid damage,n/a,n/a,may cause increased developmental and cardiovascular toxicity in zebra fish ebryos through an AhR-dependent mechanism (CYP1 inhibition),vertebrates,n/a,Cunha et al. 2020 (doi: 10.1016/j.envint.2020.105913),n/a,2/19/2022,18310,CLIKSBRDCNSYNO-UHFFFAOYSA-N,n/a
ID_2170,Purine-6-thione,DTXSID90238451,parent,n/a,Pharmaceutical,Ph Antitumor,therapy of human leukaemia,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Yamanari et al. 2002 (doi: 10.1246/bcsj.75.109),n/a,7/3/2022,185097,CNCZCYFROMADJV-UHFFFAOYSA-N,n/a
ID_2171,FD&C Red No. 40 parent | E129,DTXSID1044302,parent,n/a,"Industrial Chemical, Food Additive",IC Colorant + FA Food dye,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,7/18/2022,33259,UQWIHFJXDRNUDP-UHFFFAOYSA-N,n/a
ID_2172,6-Hydroxynaphthalene-2-sulfonic acid,DTXSID2047014,parent,n/a,Industrial Chemical,IC Reagent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3/1/2022,7117,VVPHSMHEYVOVLH-UHFFFAOYSA-N,n/a
ID_2173,Proquinazid,DTXSID1058008,parent,n/a,Pesticide,F,n/a,fungi,Signal transduction,Appressoria development inhibition,n/a,n/a,"birds, fish, aquatic invertebrates, mammals",potential reproduction/development effects in humans,PPDB,n/a,2/22/2022,11057771,FLVBXVXXXMLMOX-UHFFFAOYSA-N,n/a
ID_2174,Prometon,DTXSID6022341,parent,n/a,Pesticide,H,n/a,plants,Photosynthesis inhibition,Photosystem II inhibition,Photosystem II,affects photosystem II competing with plastoquinone and modifying electron transport processes,n/a,n/a,PPDB,n/a,11/21/2021,4928,ISEUFVQQFVOBCY-UHFFFAOYSA-N,n/a
ID_2175,2-Isopropyl-6-methylpyrimidin-4-ol,DTXSID1027502,TP,Diazinon,Pesticide,TP I/A,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,3/1/2021,135444498,AJPIUNPJBFBUKK-UHFFFAOYSA-N,n/a
ID_2176,Acesulfame,DTXSID0048006,parent,n/a,Food Additive,FA Sweetener,n/a,n/a,Olfactory/Gustatory system,Sweet taste receptor agonist,Sweet taste receptor (T1R2 and T1R3),n/a,n/a,n/a,"pubchem, wikipedia, CPDat",info about acesulfame potassium,3/1/2021,36573,YGCFIWIQZPHFLU-UHFFFAOYSA-N,n/a
ID_2177,Megestrol-17-acetate,DTXSID9040683,parent,n/a,Pharmaceutical,Ph Antineoplastic,treatment of anorexia and cachexia,humans,Endocrine,Progesterone receptor agonist,Progesterone receptor,n/a,n/a,n/a,drugbank,n/a,2/19/2022,11683,RQZAXGRLVPAYTJ-GQFGMJRRSA-N,n/a
ID_2178,Oxycarboxin,DTXSID8034792,parent,n/a,Pesticide,F,n/a,fungi,Respiratory system,Succinate dehydrogenase inhibition,Mitochondrial complex II (Succinate dehydrogenase),Nucleic acid biosynthesis inhibition,n/a,n/a,"PPDB, FRAC",n/a,4/20/2022,21330,AMEKQAFGQBKLKX-UHFFFAOYSA-N,n/a
ID_2179,Pymetrozine,DTXSID2032637,parent,n/a,Pesticide,I,n/a,insects,Neuroactive,TRPV modulator,Chordotonal organ TRPV channel,neural inhibition of feeding behavior that eventually starves insect,mammals,potential carcinogen and reproduction/development effects in humans,"PPDB, IRAC",n/a,12/18/2021,9576037,QHMTXANCGGJZRX-WUXMJOGZSA-N,n/a
ID_2180,Exemestane,DTXSID5023037,parent,n/a,Pharmaceutical,Ph Antineoplastic,n/a,humans,Endocrine,Aromatase inhibition,Aromatase,"treatment of breast cancer, oral steroidal aromatase inhibitor (block the synthesis of estrogen)",n/a,n/a,"drugbank, wikipedia",n/a,3/1/2021,60198,BFYIZQONLCFLEV-DAELLWKTSA-N,n/a
ID_2181,6-Nitrobenzo[a]pyrene,DTXSID4075083,parent,n/a,Industrial Chemical,IC Combustion product,"nitro-PAH, air pollutant (diesel exhaust)",n/a,Nucleic acid damage,n/a,n/a,n/a,vertebrates,mutagenic,"Chou et al. 1984 (doi: 10.1021/jm00375a012), IARC/3/1989",n/a,2/20/2022,44374,NMMAFYSZGOFZCM-UHFFFAOYSA-N,n/a
ID_2182,6-Nitrochrysene,DTXSID9075454,parent,n/a,Industrial Chemical,IC Combustion product,"reference material, Polycyclic aromatic hydrocarbon (PAH)",n/a,Nucleic acid damage,DNA adduct formation,DNA,could interfere with the AhR-ERα signaling pathway,mammals,"Probably carcinogenic, mutagenic (in rats)","wikipedia, IARC/2A/2014, Sun et al. 2013 (doi: 10.1021/tx300478z)",n/a,2/19/2022,24121,UAWLTQJFZUYROA-UHFFFAOYSA-N,n/a
ID_2183,Benzoguanamine,DTXSID1020142,parent,n/a,Industrial Chemical,IC Production of resins/Masking agent/Antioxidant/Intermediate,"intermediate for pesticides, pharmaceuticals, and dyes",n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,3/3/2022,7064,GZVHEAJQGPRDLQ-UHFFFAOYSA-N,n/a
ID_2184,Triamterene,DTXSID6021373,parent,n/a,Pharmaceutical,Ph Diuretic,n/a,humans,Cardiovascular system,Sodium channel inhibition,Amiloride-sensitive sodium channel,n/a,n/a,Possibly carcinogenic,"drugbank, IARC/2B/2016",n/a,7/13/2022,5546,FNYLWPVRPXGIIP-UHFFFAOYSA-N,n/a
ID_2185,6-Propyl-2-thiouracil,DTXSID5021209,parent,n/a,Pharmaceutical,Ph Antithyroid,n/a,humans,Endocrine,Thyroid peroxidase inhibition,Thyroid peroxidase (TPO),n/a,n/a,Possibly carcinogenic,"drugbank, IARC/2B/2001",n/a,2/18/2022,4950,KNAHARQHSZJURB-UHFFFAOYSA-N,n/a
ID_2186,Metribuzin-desamino,DTXSID0052839,TP,Metribuzin,Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, PPDB",n/a,10/18/2021,135502804,MIWRSUQXSCLDNV-UHFFFAOYSA-N,n/a
ID_2187,Oxymetazoline,DTXSID3040691,parent,n/a,Pharmaceutical,Ph Decongestant/Vasoconstrictor,n/a,humans,Cardiovascular system,Alpha adrenergic receptor (partial) agonist,"Alpha-1A, alpha-2A, alpha-2B adrenergic receptor",n/a,n/a,n/a,"drugbank, wikipedia",n/a,7/5/2022,4636,WYWIFABBXFUGLM-UHFFFAOYSA-N,n/a
ID_2188,Thiofanox,DTXSID4042468,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, birds","potential acetyl cholinesterase inhibitor, neurotoxicant for humans",PPDB,n/a,7/12/2022,38235,FZSVSABTBYGOQH-UHFFFAOYSA-N,n/a
ID_2189,Dyphylline,DTXSID6022975,parent,n/a,Pharmaceutical,Ph Vasodilator/Bronchodilator,n/a,humans,"Cardiovascular system, Neuromuscular system","Phosphodiesterase inhibition, Adenosine receptor antagonist","cAMP-specific 3',5'-cyclic phosphodiesterase, Adenosine receptor A1 and A2a",n/a,n/a,n/a,drugbank,n/a,5/15/2022,3182,KSCFJBIXMNOVSH-UHFFFAOYSA-N,n/a
ID_0140,Cytisin,DTXSID00883395,parent,n/a,"Natural, Pharmaceutical",Ph,smoking cessation treatment,humans,Neuroactive,nAChR agonist,Nicotinic acetylcholine receptor (nAChR),n/a,n/a,n/a,drugbank,n/a,2/23/2022,10235,ANJTVLIZGCUXLD-DTWKUNHWSA-N,n/a
ID_1743,Valdecoxib,DTXSID6044226,parent,n/a,Pharmaceutical,Ph Antiinflammatory (NSAID),withdrawn from the market,humans,Antiinflammatory,Cyclooxygenase inhibition,Cyclooxygenase 2 (COX-2),n/a,n/a,n/a,"drugbank, wikipedia",n/a,7/13/2022,119607,LNPDTQAFDNKSHK-UHFFFAOYSA-N,n/a
ID_2192,Reproterol,DTXSID8023553,parent,n/a,Pharmaceutical,Ph Antiasthmatic,n/a,humans,"Respiratory system, Neuromuscular system",Beta adrenergic receptor agonist,Beta-2 adrenergic receptor,n/a,n/a,n/a,drugbank,n/a,7/9/2022,25654,WVLAAKXASPCBGT-UHFFFAOYSA-N,n/a
ID_2193,7-Diethylamino-4-methylcoumarin,DTXSID9025035,parent,n/a,Industrial Chemical,IC Whitener/Stabilizer,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, CPDat",n/a,3/1/2021,7050,AFYCEAFSNDLKSX-UHFFFAOYSA-N,n/a
ID_2194,7-(Ethylamino)-4-methylcoumarin,DTXSID1067417,parent,n/a,Industrial Chemical,IC,n/a,n/a,unknown,n/a,n/a,substrates of Cytochrome P450-Isozymes,n/a,n/a,"Tegtmeier and Legrum 1998 (doi: 10.1002/(sici)1521-4184(199804)331:4<143::aid-ardp143>3.0.co,2-d)",n/a,3/1/2021,120061,OTNIKUTWXUODJZ-UHFFFAOYSA-N,n/a
ID_2195,Aldicarb,DTXSID0039223,parent,n/a,Pesticide,I/A/Nematicide,n/a,"insects, nematodes",Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, birds","potential endocrine disruptor, acetyl cholinesterase inhibiton and neurotoxicant in humans","PPDB, IARC/3/1991",n/a,11/8/2021,2086,QGLZXHRNAYXIBU-UHFFFAOYSA-N,n/a
ID_2196,7-[2-Amino(phenyl)acetamido]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,DTXSID20274382,parent,n/a,Pharmaceutical,n/a,n/a,n/a,unknown,n/a,n/a,competitively inhibits cephalexin uptake,n/a,n/a,Tamai and Tsuji 1987 (doi: 10.1248/bpb1978.10.632),"stereo-isomer of antibiotic cephalexin, no info about application/MoA",4/8/2023,2666,ZAIPMKNFIOOWCQ-UHFFFAOYSA-N,n/a
ID_2197,Xanthinol,DTXSID1048255,parent,n/a,Pharmaceutical,Ph Vasodilator,n/a,humans,Metabolic system,n/a,"AD(P) transhydrogenase, Glyceraldehyde-3-phosphate dehydrogenase, Isocitrate dehydrogenase, 2-oxoglutarate dehydrogenase, Malate dehydrogenase","mechanism of action is thought to be related to present influence in the cell metabolism through the nucleotides NAD and NADP, cofactor (of NAD(P) transhydrogenase, AGlyceraldehyde-3-phosphate dehydrogenase, AIsocitrate dehydrogenase, A2-oxoglutarate dehydrogenase, Malate dehydrogenase)",n/a,n/a,drugbank,n/a,7/13/2022,9913,DSFGXPJYDCSWTA-UHFFFAOYSA-N,n/a
ID_2198,Aripiprazole,DTXSID3046083,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,"Dopamine receptor partial agonist, Dopamine receptor antagonist, 5-HT1A receptor partial agonist, 5-HT2A receptor partial agonist, 5-HT2A receptor antagonist, Alpha adrenergic receptor antagonist","Dopamine D2 receptor, Serotonin 5-HT1A and 5-HT2A receptors, Alpha adrenergic receptor",n/a,n/a,n/a,drugbank,n/a,4/13/2022,60795,CEUORZQYGODEFX-UHFFFAOYSA-N,n/a
ID_2199,Oxazolidine-E,DTXSID3029289,parent,n/a,"Industrial Chemical, Biocide",IC Preservative + B,microbiocide,"bacteria, fungi",unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, pubchem",n/a,11/3/2021,82190,ZRCMGIXRGFOXNT-UHFFFAOYSA-N,n/a
ID_1646,Digitoxin,DTXSID0022933,parent,n/a,Pharmaceutical,Ph Antiarrhythmic,n/a,humans,"Cardiovascular system, ATP inhibition",Na+/K+ ATPase inhibition,Na+/K+ ATPase,n/a,n/a,n/a,drugbank,n/a,11/17/2021,441207,WDJUZGPOPHTGOT-XUDUSOBPSA-N,n/a
ID_2201,7-Amino-4-methylcoumarin,DTXSID40885333,parent,n/a,Industrial Chemical,IC Dye,fluorochrome,n/a,unknown,n/a,n/a,n/a,n/a,n/a,pubchem,n/a,3/1/2021,92249,GLNDAGDHSLMOKX-UHFFFAOYSA-N,n/a
ID_2202,7-Aminoclonazepam,DTXSID90197913,TP,Clonazepam,Pharmaceutical,TP Ph Psychotropic,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,drugbank,n/a,11/10/2021,188298,HEFRPWRJTGLSSV-UHFFFAOYSA-N,n/a
ID_2203,7-Aminodesmethylflunitrazepam,DTXSID90237641,TP,Flunitrazepam,Pharmaceutical,TP Ph Psychotropic,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"drugbank, hmdb",n/a,5/19/2022,160551,IWZVUERQZJRRPL-UHFFFAOYSA-N,n/a
ID_2204,7-Aminoflunitrazepam,DTXSID40187682,TP,Flunitrazepam,Pharmaceutical,TP Ph Psychotropic,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"drugbank, pubchem",n/a,11/10/2021,92294,LTCDLGUFORGHGY-UHFFFAOYSA-N,n/a
ID_2205,7-Aminonitrazepam,DTXSID20197749,TP,Nitrazepam,Pharmaceutical,TP Ph Psychotropic,anticonvulsant,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"drugbank, Kangas 1979 (doi: 10.1111/j.1600-0773.1979.tb02353.x)",n/a,7/4/2022,78641,OYOUQHVDCKOOAL-UHFFFAOYSA-N,n/a
ID_2206,Fenazepam,DTXSID00199685,parent,n/a,Pharmaceutical,Ph Psychotropic,anticonvulsant,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,Kopanitsa et al. 2001 (doi: 10.1007/s002100100403),n/a,11/17/2021,40113,CGMJQQJSWIRRRL-UHFFFAOYSA-N,n/a
ID_1552,Phendimetrazine,DTXSID1023447,parent,n/a,Pharmaceutical,Ph Stimulant/Anorectic,n/a,humans,Neuroactive,"Alpha adrenergic receptor agonist, Noradrenaline-dopamine releasing agent","Alpha-1A adrenergic receptor, Sodium-dependent noradrenaline transporter",n/a,n/a,n/a,drugbank,n/a,7/18/2022,12460,MFOCDFTXLCYLKU-UHFFFAOYSA-N,n/a
ID_2208,"7-Bromo-5-(2-fluorophenyl)-1,3-dihydro-2H-1,4-benzodiazepin-2-one",DTXSID40513609,parent,n/a,Drug of abuse,Designer drug,n/a,humans,Neuroactive,GABA(A) receptor modulator,GABA(A) receptor,n/a,n/a,n/a,"wikipedia, El Balkhi et al. 2020 (doi: 10.1177/0269881119901096)",n/a,7/18/2022,12947024,ZRKDDZBVSZLOFS-UHFFFAOYSA-N,n/a
ID_2209,Bromazepam,DTXSID40171081,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,drugbank,n/a,11/17/2021,2441,VMIYHDSEFNYJSL-UHFFFAOYSA-N,n/a
ID_2210,Halofuginone,DTXSID0048260,parent,n/a,Pharmaceutical,Ph Coccidiostat,"veterinary substance, antitumoral effect","parasites (in humans, vertebrates)",Protein biosynthesis inhibition,Glutamyl-prolyl tRNA synthetase inhibition,Glutamyl-prolyl tRNA synthetase,inhibition of collagen a1(I) and matrix metalloproteinase 2 (MMP-2) gene expression,n/a,n/a,"drugbank, wikipedia",n/a,5/31/2022,n/a,LVASCWIMLIKXLA-PVRQQBJHNA-N,n/a
ID_2211,Prazepam,DTXSID4021181,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"drugbank, IARC/3/1996",n/a,11/18/2021,4890,MWQCHHACWWAQLJ-UHFFFAOYSA-N,n/a
ID_2212,Flurazepam,DTXSID1023071,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,bind nonspecifically to benzodiazepine receptors BNZ1 and BNZ2,n/a,n/a,drugbank,n/a,11/17/2021,3393,SAADBVWGJQAEFS-UHFFFAOYSA-N,n/a
ID_2213,Clobenzepam,DTXSID50151218,parent,n/a,Pharmaceutical,Ph Antihistamine/Anticholinergic,treatment of asthma,humans,Antihistamine,Histamine receptor antagonist,Histamine H1 receptor,n/a,n/a,n/a,"wikipedia, Dua et al. 2011",n/a,5/10/2022,14396,IDWVKNARDDZONS-UHFFFAOYSA-N,n/a
ID_2214,Diazepam,DTXSID4020406,parent,n/a,Pharmaceutical,Ph Psychotropic,"anticonvulsant, muscle relaxant",humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"drugbank, IARC/3/1996",n/a,3/1/2021,3016,AAOVKJBEBIDNHE-UHFFFAOYSA-N,n/a
ID_2215,Clobazam | Urbadan,DTXSID2046759,parent,n/a,Pharmaceutical,Ph Anticonvulsant,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,drugbank,n/a,11/17/2021,2789,CXOXHMZGEKVPMT-UHFFFAOYSA-N,n/a
ID_2216,Medazepam,DTXSID1048708,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"wikipedia, drugbank",n/a,11/17/2021,4041,YLCXGBZIZBEVPZ-UHFFFAOYSA-N,n/a
ID_2217,Medazepam hydrochloride,DTXSID50951593,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"wikipedia, pubchem",n/a,11/18/2021,12207008,XBWAZCLHZCFCGK-UHFFFAOYSA-N,n/a
ID_2218,Metolazone,DTXSID6045167,parent,n/a,Pharmaceutical,Ph Hypertension/Diuretic,n/a,humans,Cardiovascular system,Sodium-chloride symporter inhibition,Sodium-chloride symporter (SLC12A3) ,n/a,n/a,n/a,"drugbank, wikipedia",n/a,7/4/2022,4170,AQCHWTWZEMGIFD-UHFFFAOYSA-N,n/a
ID_2219,Triazoxide,DTXSID3058169,parent,n/a,Pesticide,F,n/a,fungi,unknown,n/a,n/a,"Specific, non-systemic","birds, fish, mammals",n/a,"PPDB, FRAC",n/a,12/15/2021,93422,IQGKIPDJXCAMSM-UHFFFAOYSA-N,n/a
ID_2220,Temazepam,DTXSID8021309,parent,n/a,Pharmaceutical,Ph,treatment of insomnia,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"drugbank, wikipedia, IARC/3/1996",n/a,3/1/2021,5391,SEQDDYPDSLOBDC-UHFFFAOYSA-N,n/a
ID_2221,Oxazepam,DTXSID1021087,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,Possibly carcinogenic,"drugbank, IARC/2B/1996",n/a,3/1/2021,4616,ADIMAYPTOBDMTL-UHFFFAOYSA-N,n/a
ID_2222,Quinmerac,DTXSID1042364,parent,n/a,Pesticide,H,n/a,plants,Synthetic Auxin,Synthetic Auxin,n/a,n/a,n/a,n/a,PPDB,n/a,2/18/2022,91749,ALZOLUNSQWINIR-UHFFFAOYSA-N,n/a
ID_2223,Demoxepam,DTXSID4046155,TP,Chlordiazepoxide,Pharmaceutical,TP Ph Psychotropic,n/a,n/a,unknown,n/a,n/a,anticonvulsant properties,n/a,n/a,drugbank,n/a,5/14/2022,n/a,GGRWZBVSUZZMKS-UHFFFAOYSA-N,n/a
ID_2224,N-Demethylchlordiazepoxide,DTXSID10227968,TP,Chlordiazepoxide,Pharmaceutical,TP Ph Psychotropic,n/a,n/a,unknown,n/a,n/a,potential anticonvulsant activity,n/a,n/a,Coutinho et al. 1969 (doi: 10.1016/0006-2952(69)90208-1),n/a,10/3/2022,5360301,LNLMGKOHYYEWMY-UHFFFAOYSA-N,n/a
ID_2225,Delorazepam,DTXSID70183137,parent + TP,"Cloxazolam, Diclazepam",Pharmaceutical,Ph Psychotropic,anxiolytic/anticonvulsant/hypnotic/skeletal muscle relaxant activity,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"drugbank, wikipedia",n/a,7/18/2022,17925,CHIFCDOIPRCHCF-UHFFFAOYSA-N,n/a
ID_2226,2-Chlorodiazepam,DTXSID30183138,parent,n/a,Drug of abuse,Diazepam analogue,"anxiolytic, anticonvulsant, hypnotic, sedative, skeletal muscle relaxant, amnestic properties",humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,"wikipedia, drugbank",n/a,7/13/2022,76168,VPAYQWRBBOGGPY-UHFFFAOYSA-N,n/a
ID_2227,Lorazepam,DTXSID7023225,parent,n/a,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,drugbank,n/a,3/1/2021,3958,DIWRORZWFLOCLC-UHFFFAOYSA-N,n/a
ID_2228,N(sup 1)-(2-Hydroxyethyl)flurazepam,DTXSID10175152,TP,Flurazepam,Pharmaceutical,TP Ph Psychotropic,urinary benzodiazepine excretion product,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Dickson et al. 1992 (doi: 10.1093/jat/16.2.67),n/a,10/4/2022,30401,FOCBRQQHNOKOJQ-UHFFFAOYSA-N,n/a
ID_2229,Norfludiazepam | Desalkylflurazepam,DTXSID30183057,TP,"2-oxoquazepam, Flurazepam, Flutoprazepam, Fludiazepam, Midazolam, Flutazolam, Quazepam, Ethyl loflazepate",Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,active metabolite,n/a,n/a,"wikipedia, drugbank",n/a,11/17/2021,4540,UVCOILFBWYKHHB-UHFFFAOYSA-N,n/a
ID_2230,Nortetrazepam | Tetrazepam-Nor,DTXSID40146057,TP,Tetrazepam,Pharmaceutical,TP Ph Anticonvulsant/Anxiolytic/Muscle relaxant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,7/10/2022,166581,FDRMSENAXZDFTN-UHFFFAOYSA-N,n/a
ID_2231,Tetrazepam,DTXSID00146058,parent,n/a,Pharmaceutical,Ph Anticonvulsant/Anxiolytic/Muscle relaxant,not in use any more,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,wikipedia,n/a,2/25/2022,25215,IQWYAQCHYZHJOS-UHFFFAOYSA-N,n/a
ID_2232,Halazepam,DTXSID5023118,parent,n/a,Pharmaceutical,Ph Psychotropic,anticonvulsant,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,bind nonspecifically to benzodiazepine receptors BNZ1 and BNZ2,n/a,n/a,drugbank,n/a,11/17/2021,31640,WYCLKVQLVUQKNZ-UHFFFAOYSA-N,n/a
ID_2233,Nordiazepam | Desmethyldiazepam,DTXSID2049000,parent + TP,Clorazepate,Pharmaceutical,Ph Psychotropic,n/a,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,n/a,n/a,n/a,drugbank,n/a,11/18/2021,2997,AKPLHCDWDRPJGD-UHFFFAOYSA-N,n/a
ID_2234,Chlordiazepoxide | Librium,DTXSID4046022,parent,n/a,Pharmaceutical,Ph Psychotropic,anticonvulsant,humans,Neuroactive,GABA(A) receptor positive allosteric modulator,GABA(A) receptor,bind nonspecifically to benzodiazepine receptors BNZ1 and BNZ2,n/a,n/a,drugbank,n/a,11/17/2021,n/a,ANTSCNMPPGJYLG-UHFFFAOYSA-N,n/a
ID_2235,Quinmerac BH518-2,DTXSID00536258,TP,Quinmerac,Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,2/22/2022,13309794,ZYIDIAPHYHJMCU-UHFFFAOYSA-N,n/a
ID_2236,Benz[de]anthracen-7-one,DTXSID8052566,parent,n/a,Industrial Chemical,IC Combustion product,"polycyclic aromatic hydrocarbon (PAH), intermediate for dyes",n/a,unknown,n/a,n/a,"little in vitro AhR-mediated activity, weak inducers of in vitro estrogenic activity",n/a,potential endocrine effects,"wikipedia, Machala et al. 2009 (doi: 10.1002/etc.5620201212)",n/a,2/18/2022,6697,HUKPVYBUJRAUAG-UHFFFAOYSA-N,n/a
